Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Reporting Zone,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2019,January,1144,Cermaq Canada,Burdwood,-126.49581,50.7969,Broughton Archipelago,Routine monitoring,2019-01-16,3,1.42,0.38,1.27,1.98,,1
2019,January,458,Cermaq Canada,Cypress Harbour,-126.66313,50.83772,Broughton Archipelago,Routine monitoring,2019-01-11,2,0.65,0.35,0.78,0.05,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",Brood
2019,January,869,Cermaq Canada,Maude Island,-126.75743,50.85271,Broughton Archipelago,Routine monitoring,2019-01-16,3,0.05,0.05,0.27,1.75,,1
2019,January,728,Cermaq Canada,Sir Edmund Bay,-126.59684,50.83096,Broughton Archipelago,Routine monitoring,2019-01-16,3,0.45,0.2,0,0.2,,2
2019,January,1825,Grieg Seafood BC,Noo-la,-126.36301,50.60799,Broughton Archipelago,Routine monitoring,2019-01-09,3,0.27,0.07,0.35,0.75,,1
2019,January,1825,Grieg Seafood BC,Noo-la,-126.36301,50.60799,Broughton Archipelago,Routine monitoring,2019-01-23,3,0.22,0.1,1.58,3.63,,1
2019,January,7273,Grieg Seafood BC,Tsa-ya,-126.330725,50.61330417,Broughton Archipelago,Routine monitoring,2019-01-14,3,0.33,0.13,0.43,8.05,,1
2019,January,1839,Grieg Seafood BC,Wa-kwa,-126.347412,50.601059,Broughton Archipelago,Routine monitoring,2019-01-14,3,0.55,0.08,0.65,5.35,,1
2019,January,1586,MOWI Canada West,Doctor Islets,-126.28925,50.65373,Broughton Archipelago,Routine monitoring,2019-01-07,3,0.5,0.13,4.63,4.38,,1
2019,January,1586,MOWI Canada West,Doctor Islets,-126.28925,50.65373,Broughton Archipelago,Routine monitoring,2019-01-14,2,0.73,0.2,10.23,0.65,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,1586,MOWI Canada West,Doctor Islets,-126.28925,50.65373,Broughton Archipelago,Routine monitoring,2019-01-21,4,0.61,0.21,10.19,3.6,,1
2019,January,1586,MOWI Canada West,Doctor Islets,-126.28925,50.65373,Broughton Archipelago,Routine monitoring,2019-01-29,2,0.6,0.25,10.65,3.6,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,1618,MOWI Canada West,Humphrey Rock,-126.25532,50.69682,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2019,January,141,MOWI Canada West,Port Elizabeth,-126.47653,50.67099,Broughton Archipelago,Routine monitoring,2019-01-07,2,0.4,0.35,3.15,0.9,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",2
2019,January,141,MOWI Canada West,Port Elizabeth,-126.47653,50.67099,Broughton Archipelago,Routine monitoring,2019-01-13,3,0.9,0.52,3.15,3.03,,2
2019,January,141,MOWI Canada West,Port Elizabeth,-126.47653,50.67099,Broughton Archipelago,Routine monitoring,2019-01-19,2,0.45,0.23,3.83,1.18,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",2
2019,January,141,MOWI Canada West,Port Elizabeth,-126.47653,50.67099,Broughton Archipelago,Routine monitoring,2019-01-28,3,0.97,0.57,3.7,2.38,,2
2019,January,1059,MOWI Canada West,Sargeaunt Pass,-126.18595,50.67346,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2019,January,465,MOWI Canada West,Swanson,-126.70473,50.61871,Broughton Archipelago,Routine monitoring,2019-01-01,2,0.93,0.48,1.23,0.33,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,465,MOWI Canada West,Swanson,-126.70473,50.61871,Broughton Archipelago,Routine monitoring,2019-01-05,3,0.6,0.25,2.15,0.25,,1
2019,January,465,MOWI Canada West,Swanson,-126.70473,50.61871,Broughton Archipelago,Routine monitoring,2019-01-14,2,0.9,0.5,3.8,0.15,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,465,MOWI Canada West,Swanson,-126.70473,50.61871,Broughton Archipelago,Routine monitoring,2019-01-22,3,0.73,0.27,3.93,0.5,,1
2019,January,465,MOWI Canada West,Swanson,-126.70473,50.61871,Broughton Archipelago,Routine monitoring,2019-01-28,2,1.08,0.6,6.15,0.38,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,820,MOWI Canada West,Wicklow Point,-126.69153,50.78659,Broughton Archipelago,Routine monitoring,2019-01-06,3,1.47,0.72,1.78,0.02,,1
2019,January,820,MOWI Canada West,Wicklow Point,-126.69153,50.78659,Broughton Archipelago,Routine monitoring,2019-01-12,2,2.03,0.7,1.05,0.48,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,820,MOWI Canada West,Wicklow Point,-126.69153,50.78659,Broughton Archipelago,Pre-treatment,2019-01-15,8,1.69,0.86,1.24,0.08,Management action planned (Mechanical removal treatment),1
2019,January,820,MOWI Canada West,Wicklow Point,-126.69153,50.78659,Broughton Archipelago,Post mechanical removal or bath treatment,2019-01-16,8,0.28,0.23,0.29,0.01,,1
2019,January,820,MOWI Canada West,Wicklow Point,-126.69153,50.78659,Broughton Archipelago,Routine monitoring,2019-01-27,2,1.13,0.5,1.23,0.7,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2019,January,7714,MOWI Canada West,Alexander,-128.57494,52.67648,Central Coast,Routine monitoring,2019-01-05,3,0.42,0.05,2.28,5.55,,1
2019,January,7714,MOWI Canada West,Alexander,-128.57494,52.67648,Central Coast,Routine monitoring,2019-01-12,3,0.42,0.1,1.98,5.02,,1
2019,January,7714,MOWI Canada West,Alexander,-128.57494,52.67648,Central Coast,Routine monitoring,2019-01-25,4,0.46,0.06,1.08,0.89,,1
2019,January,1702,MOWI Canada West,Goat Cove,52.78726,-128.4199,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2019,January,1691,MOWI Canada West,Kid Bay,-128.404313,52.801081,Central Coast,Routine monitoring,2019-01-01,3,0,0,0,0.02,,2
