"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.688380389069164,0.675627240143369,0.709677419354839
"58","Jun 05 19","copepodid",0,0,0
"103","Apr 15 20","copepodid",0.0636750319809406,0.0605893186003687,0.0666666666666666
"155","Apr 14 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0,0,0
"159","May 12 21","copepodid",0,0,0
"216","May 08 19","chalimus",1.06894998912583,1.04659498207885,1.07985006815084
"220","Jun 05 19","chalimus",0.0257072947200285,0.021021021021021,0.0269968763944667
"265","Apr 15 20","chalimus",0,0,0
"317","Apr 14 21","chalimus",0,0,0
"319","Apr 28 21","chalimus",0,0,0
"321","May 12 21","chalimus",0,0,0
"378","May 08 19","motile",0.0318565486077655,0.024411508282476,0.0340140478668059
"382","Jun 05 19","motile",0,0,0
"427","Apr 15 20","motile",0,0,0
"479","Apr 14 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0,0,0
"540","May 08 19","total",1.80944252785779,1.78570043312432,1.86121530382596
"544","Jun 05 19","total",0.0268778106209303,0.0238095238095239,0.0277114823654201
"589","Apr 15 20","total",0.0678152675242666,0.0638888888888888,0.0737532808398949
"641","Apr 14 21","total",0,0,0
"643","Apr 28 21","total",0,0,0
"645","May 12 21","total",0,0,0
