"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.665229046978683,0.626728110599078,0.679449075752086
"58","Jun 05 19","copepodid",0,0,0
"103","Apr 15 20","copepodid",0.0641883904454266,0.0625698324022347,0.0666666666666668
"155","Apr 14 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0,0,0
"159","May 12 21","copepodid",0,0,0
"216","May 08 19","chalimus",1.06863483562519,0.98435972629521,1.09367741935484
"220","Jun 05 19","chalimus",0.0286617103716394,0.0268361581920907,0.035230352303523
"265","Apr 15 20","chalimus",0,0,0
"317","Apr 14 21","chalimus",0,0,0
"319","Apr 28 21","chalimus",0,0,0
"321","May 12 21","chalimus",0,0,0
"378","May 08 19","motile",0.0334785867311503,0.032449507035513,0.0350631136044881
"382","Jun 05 19","motile",0,0,0
"427","Apr 15 20","motile",0,0,0
"479","Apr 14 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0,0,0
"540","May 08 19","total",1.74989270537651,1.7062818336163,1.76809677419355
"544","Jun 05 19","total",0.0269037724194741,0.0247524752475248,0.0282118055555549
"589","Apr 15 20","total",0.0653929843333042,0.0605222734254993,0.0692307692307692
"641","Apr 14 21","total",0,0,0
"643","Apr 28 21","total",0,0,0
"645","May 12 21","total",0,0,0
