"","Week","Stage","mean","lci","uci"
"1","May 02 18","copepodid",0.546676707055106,0.534520191055145,0.551625571684229
"50","Apr 10 19","copepodid",0.411050046426656,0.38,0.417488888888891
"53","May 01 19","copepodid",0.507698361205678,0.4955,0.516666666666667
"163","May 02 18","chalimus",1.79023359421954,1.75745636029325,1.88991674375578
"212","Apr 10 19","chalimus",0.419188996934419,0.413793103448275,0.425
"215","May 01 19","chalimus",1.23773981240193,1.22660194174757,1.302
"325","May 02 18","motile",0.16878240669743,0.151595744680851,0.171479537757555
"374","Apr 10 19","motile",0,0,0
"377","May 01 19","motile",0.161599526360971,0.158640776699029,0.165263157894737
"487","May 02 18","total",2.50868226643902,2.48466617754953,2.60398078242965
"536","Apr 10 19","total",0.834410973461008,0.820837209302326,0.845322580645162
"539","May 01 19","total",1.90402969960061,1.88972972972973,1.92367567567567
