"","Week","Stage","mean","lci","uci"
"1","May 02 18","copepodid",0.557421007781262,0.551949664707344,0.566886769381267
"50","Apr 10 19","copepodid",0.423600586396789,0.4105,0.427458745874587
"53","May 01 19","copepodid",0.499766423175813,0.483870967741935,0.504015748031498
"163","May 02 18","chalimus",1.77375844234239,1.74906132665832,1.81426106958022
"212","Apr 10 19","chalimus",0.42229302044551,0.412413793103449,0.433377483443709
"215","May 01 19","chalimus",1.24204443367151,1.2162962962963,1.2480412371134
"325","May 02 18","motile",0.168977169811554,0.163171590387265,0.171816766523566
"374","Apr 10 19","motile",0,0,0
"377","May 01 19","motile",0.160939195140942,0.158275862068965,0.165333333333333
"487","May 02 18","total",2.49064521932613,2.38534278959811,2.52353127977137
"536","Apr 10 19","total",0.832129082837939,0.789285714285715,0.850350404312663
"539","May 01 19","total",1.89114691035361,1.86729166666667,1.90187702265372
