"","Week","Stage","mean","lci","uci"
<<<<<<< Updated upstream
"3","May 16 18","copepodid",2.51523960967925,2.47100389863547,2.57629504504505
"165","May 16 18","chalimus",5.66576911911406,5.61347517730497,5.69903846153846
"327","May 16 18","motile",1.98464954174811,1.97008547008547,2.00323834196891
"489","May 16 18","total",10.1987675053193,10.1394817073171,10.2587519025875
=======
"3","May 16 18","copepodid",2.51412399626778,2.43844696969697,2.53335929387331
"165","May 16 18","chalimus",5.70207391469518,5.66862745098039,5.83333333333333
"327","May 16 18","motile",1.99951049268116,1.99140625,2.03186274509804
"489","May 16 18","total",10.3077138907304,10.1216216216216,10.3918821839081
>>>>>>> Stashed changes
