"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.191122309647968,0.184551886792453,0.196127110228402
"55","May 15 19","copepodid",0.495803806602988,0.487413793103448,0.499649921232278
"155","Apr 14 21","copepodid",0.0796177483118128,0.0774999999999996,0.0870329670329669
"157","Apr 28 21","copepodid",0.0200257640822375,0.0187786259541987,0.029090909090909
"159","May 12 21","copepodid",0.0709406273664774,0.0697733711048159,0.0763043478260871
"162","Jun 02 21","copepodid",0.0190096244701696,0.0160256410256411,0.0206593406593405
"216","May 08 19","chalimus",0.587148125577264,0.568396226415094,0.592359655252738
"217","May 15 19","chalimus",1.09905382736008,1.09103448275862,1.12460815047022
"317","Apr 14 21","chalimus",0.228625535838825,0.224775160599572,0.253157894736842
"319","Apr 28 21","chalimus",0.0403037594114001,0.0389556135770235,0.0433566433566433
"321","May 12 21","chalimus",0.231696651787379,0.229798657718121,0.236111111111111
"324","Jun 02 21","chalimus",0.0575433816192267,0.055009950679242,0.0665680473372781
"378","May 08 19","motile",0.0582275953776683,0.0554485945321525,0.0606239279588334
"379","May 15 19","motile",0.0704364690301831,0.0689655172413794,0.0717159277504102
"479","Apr 14 21","motile",0.06097763603065,0.055,0.0629617834394902
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0.00915059526563713,0.0057142857142857,0.0098590021691977
"486","Jun 02 21","motile",0,0,0
"540","May 08 19","total",0.844048938350898,0.821886792452831,0.853330890883556
"541","May 15 19","total",1.66075283028482,1.63548318433376,1.66948766470424
"641","Apr 14 21","total",0.36155185908263,0.349642857142857,0.372679738562091
"643","Apr 28 21","total",0.0581214092825635,0.0495833333333332,0.0617064846416395
"645","May 12 21","total",0.303806841063566,0.29679802955665,0.308233995584983
"648","Jun 02 21","total",0.0777584705066271,0.074468085106383,0.079737335834897
