"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.191602269919966,0.189118034225537,0.195145219419122
"55","May 15 19","copepodid",0.498931590119482,0.492476489028213,0.502827586206897
"155","Apr 14 21","copepodid",0.0785258783192335,0.0711111111111111,0.081090909090909
"157","Apr 28 21","copepodid",0.0195548770805207,0.0145833333333333,0.0207079646017705
"159","May 12 21","copepodid",0.0696023364891109,0.0643181818181817,0.0707069408740351
"162","Jun 02 21","copepodid",0.0206650186935935,0.0195893849739999,0.0239212007504689
"216","May 08 19","chalimus",0.586519430724644,0.58095238095238,0.615780445969125
"217","May 15 19","chalimus",1.09601663715564,1.08498101866498,1.12687886825818
"317","Apr 14 21","chalimus",0.220067903856071,0.215629322268327,0.23
"319","Apr 28 21","chalimus",0.039603911451005,0.0344444444444444,0.0450526315789473
"321","May 12 21","chalimus",0.22814322855613,0.217608695652174,0.231114864864864
"324","Jun 02 21","chalimus",0.0591823304294431,0.0577651515151513,0.0657894736842105
"378","May 08 19","motile",0.0578159747423903,0.0567839584030475,0.0649895178197065
"379","May 15 19","motile",0.070828637959867,0.0687245087133837,0.079064039408867
"479","Apr 14 21","motile",0.0596895163647769,0.0538095238095238,0.0622568093385216
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0.00990175411982634,0.00843749999999999,0.0103738317757007
"486","Jun 02 21","motile",0,0,0
"540","May 08 19","total",0.830450606448568,0.801721284342933,0.838724168912849
"541","May 15 19","total",1.66894014169534,1.65936932849364,1.69070363466915
"641","Apr 14 21","total",0.353844283496962,0.32969696969697,0.3620170109356
"643","Apr 28 21","total",0.0569002114626776,0.0524137931034483,0.0589307411907666
"645","May 12 21","total",0.311775219820248,0.30970479704797,0.317564102564103
"648","Jun 02 21","total",0.0772589970989237,0.0756743256743262,0.0807692307692306
