"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.68202557305502,0.658719027582983,0.698156682027649
"55","May 15 19","copepodid",0,0,0
"58","Jun 05 19","copepodid",0,0,0
"61","Jun 26 19","copepodid",0,0,0
"103","Apr 15 20","copepodid",0.0469693881955098,0.0417710944026734,0.0480549199084672
"154","Apr 07 21","copepodid",0,0,0
"155","Apr 14 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0,0,0
"159","May 12 21","copepodid",0,0,0
"216","May 08 19","chalimus",1.06153919433662,1.03282399547255,1.07014080309916
"217","May 15 19","chalimus",0,0,0
"220","Jun 05 19","chalimus",0.0080920645453659,0.00777639575685846,0.00860832137733138
"223","Jun 26 19","chalimus",0,0,0
"265","Apr 15 20","chalimus",0,0,0
"316","Apr 07 21","chalimus",0,0,0
"317","Apr 14 21","chalimus",0,0,0
"319","Apr 28 21","chalimus",0,0,0
"321","May 12 21","chalimus",0,0,0
"378","May 08 19","motile",0.0331043192817268,0.0305602716468591,0.0340006484033069
"379","May 15 19","motile",0,0,0
"382","Jun 05 19","motile",0.00790448433981578,0.00713012477718359,0.00840336134453784
"385","Jun 26 19","motile",0,0,0
"427","Apr 15 20","motile",0,0,0
"478","Apr 07 21","motile",0,0,0
"479","Apr 14 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0,0,0
"540","May 08 19","total",1.77792499696643,1.73823373876256,1.80035239902413
"541","May 15 19","total",0,0,0
"544","Jun 05 19","total",0.0166419181523489,0.0157942695150348,0.0180995475113123
"547","Jun 26 19","total",0,0,0
"589","Apr 15 20","total",0.0494943236379755,0.0476537048589451,0.0578231292517006
"640","Apr 07 21","total",0,0,0
"641","Apr 14 21","total",0,0,0
"643","Apr 28 21","total",0,0,0
"645","May 12 21","total",0,0,0
