"","Week","Stage","mean","lci","uci"
"54","May 08 19","copepodid",0.662312536669886,0.63594470046083,0.674109171155965
"55","May 15 19","copepodid",0,0,0
"58","Jun 05 19","copepodid",0,0,0
"61","Jun 26 19","copepodid",0,0,0
"103","Apr 15 20","copepodid",0.0451296632799524,0.0380952380952382,0.0466383871556287
"154","Apr 07 21","copepodid",0,0,0
"155","Apr 14 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0,0,0
"159","May 12 21","copepodid",0,0,0
"216","May 08 19","chalimus",1.06171747436698,1.0406126711534,1.07400379506641
"217","May 15 19","chalimus",0,0,0
"220","Jun 05 19","chalimus",0.00924317613956149,0.0088802831007542,0.0101102941176471
"223","Jun 26 19","chalimus",0,0,0
"265","Apr 15 20","chalimus",0,0,0
"316","Apr 07 21","chalimus",0,0,0
"317","Apr 14 21","chalimus",0,0,0
"319","Apr 28 21","chalimus",0,0,0
"321","May 12 21","chalimus",0,0,0
"378","May 08 19","motile",0.0317975594143965,0.0284629981024668,0.0328085434327868
"379","May 15 19","motile",0,0,0
"382","Jun 05 19","motile",0.00836012921392176,0.00793537754084697,0.00963081861958271
"385","Jun 26 19","motile",0,0,0
"427","Apr 15 20","motile",0,0,0
"478","Apr 07 21","motile",0,0,0
"479","Apr 14 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"483","May 12 21","motile",0,0,0
"540","May 08 19","total",1.760964209552,1.69032258064516,1.78397096403837
"541","May 15 19","total",0,0,0
"544","Jun 05 19","total",0.017273704589589,0.016348357524828,0.0183595177201312
"547","Jun 26 19","total",0,0,0
"589","Apr 15 20","total",0.046887820157499,0.0420634920634921,0.0485784057212626
"640","Apr 07 21","total",0,0,0
"641","Apr 14 21","total",0,0,0
"643","Apr 28 21","total",0,0,0
"645","May 12 21","total",0,0,0
