"","Week","Stage","mean","lci","uci"
"1","May 02 18","copepodid",0.555992001880662,0.551707075705097,0.566124322069253
"50","Apr 10 19","copepodid",0.413035830102403,0.390526315789474,0.418046875
"53","May 01 19","copepodid",0.50730467025312,0.497647058823529,0.513714285714285
"163","May 02 18","chalimus",1.76084452072748,1.62613981762918,1.78242147922999
"212","Apr 10 19","chalimus",0.414805530734494,0.40872586872587,0.431111111111111
"215","May 01 19","chalimus",1.25358275680373,1.24509582863585,1.28
"325","May 02 18","motile",0.169913768908228,0.156382978723404,0.174346504559271
"374","Apr 10 19","motile",0,0,0
"377","May 01 19","motile",0.159791763041248,0.157159940209267,0.172093023255814
"487","May 02 18","total",2.46751014939686,2.38513721862473,2.48408295179101
"536","Apr 10 19","total",0.838104803652751,0.817066666666667,0.84578947368421
"539","May 01 19","total",1.90465484051577,1.87941176470588,1.92545454545455
