"","Week","Stage","mean","lci","uci"
"1","May 02 18","copepodid",0.554752388932073,0.545100389571471,0.558553191489362
"50","Apr 10 19","copepodid",0.414120254140768,0.388695652173913,0.419736842105261
"53","May 01 19","copepodid",0.497835185231926,0.489745454545454,0.509047619047619
"163","May 02 18","chalimus",1.78950939110678,1.76595744680851,1.84846516160468
"212","Apr 10 19","chalimus",0.420534108645016,0.404705882352941,0.425975609756096
"215","May 01 19","chalimus",1.2465963094134,1.23623376623377,1.29128205128205
"325","May 02 18","motile",0.172109642836785,0.170652105692587,0.175844806007509
"374","Apr 10 19","motile",0,0,0
"377","May 01 19","motile",0.164993363866394,0.162295760082731,0.170847457627119
"487","May 02 18","total",2.52173597165886,2.50310421775921,2.56829100892244
"536","Apr 10 19","total",0.834716076602124,0.827541589648797,0.857872340425532
"539","May 01 19","total",1.89734714960722,1.87862068965517,1.90760975609756
