"","Week","Stage","mean","lci","uci"
"53","May 01 19","copepodid",1.1241915312535,1.10681188118812,1.18037803780378
"54","May 08 19","copepodid",0.164238287104249,0.15051282051282,0.169137168141594
"104","Apr 22 20","copepodid",0.0347001806880255,0.0334090511969253,0.0384946854352198
"105","Apr 29 20","copepodid",0.315838026187353,0.296,0.3204
"107","May 13 20","copepodid",0.391805079088943,0.383915994365474,0.407154249259512
"109","May 27 20","copepodid",3.90550568773216,3.85633680555556,3.9180790960452
"111","Jun 10 20","copepodid",0.98006066592431,0.956487341772151,0.991490610328637
"113","Jun 24 20","copepodid",0.845817199092003,0.828679177516385,0.875675675675675
"153","Mar 31 21","copepodid",0.16643149829132,0.162196679438059,0.177777777777778
"155","Apr 14 21","copepodid",0.17083294891126,0.16650406504065,0.172375993422856
"156","Apr 21 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0.152236286647632,0.149493927125506,0.166346153846154
"215","May 01 19","chalimus",1.21377082792052,1.20134674757798,1.22868872253079
"216","May 08 19","chalimus",1.62307718198006,1.57738095238095,1.63369848721961
"266","Apr 22 20","chalimus",0.154866756907699,0.147699757869249,0.159667934970598
"267","Apr 29 20","chalimus",0.0963443233963085,0.0928723404255319,0.0989123867069481
"269","May 13 20","chalimus",0.306008981078184,0.302362573099418,0.317920970650927
"271","May 27 20","chalimus",2.02636514339768,2.00480030721966,2.05306603773585
"273","Jun 10 20","chalimus",1.42707998805759,1.40616688829787,1.503125
"275","Jun 24 20","chalimus",0.447502100672007,0.432432432432433,0.463902258422807
"315","Mar 31 21","chalimus",0.252121728812369,0.247484835034768,0.266144349477683
"317","Apr 14 21","chalimus",0.0952223193385771,0.0918961447678994,0.0965005302226938
"318","Apr 21 21","chalimus",0.0184297280068655,0.0145530145530145,0.0199353448275854
"319","Apr 28 21","chalimus",0.0191734972038819,0.0177283653846157,0.0225752508361204
"377","May 01 19","motile",0.122138840332873,0.113099771515613,0.127818203507098
"378","May 08 19","motile",0.374195671527892,0.353703703703704,0.381380563124434
"428","Apr 22 20","motile",0,0,0
"429","Apr 29 20","motile",0,0,0
"431","May 13 20","motile",0.158483031811729,0.151002506265664,0.163247100802855
"433","May 27 20","motile",0.0643776065656484,0.0603448275862069,0.0660545023696681
"435","Jun 10 20","motile",0,0,0
"437","Jun 24 20","motile",0,0,0
"477","Mar 31 21","motile",0.0276584949370406,0.0235042735042736,0.0290576412590069
"479","Apr 14 21","motile",0,0,0
"480","Apr 21 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"539","May 01 19","total",2.4609867682151,2.44178108418576,2.51508722300802
"540","May 08 19","total",2.16398563830843,2.14083769633508,2.20833333333333
"590","Apr 22 20","total",0.191132226908078,0.18620195750776,0.208411801632141
"591","Apr 29 20","total",0.428670711360401,0.417529411764699,0.466153846153846
"593","May 13 20","total",0.840133116305664,0.818760611205432,0.848906792772281
"595","May 27 20","total",5.97412177802635,5.82436342592593,6.00756310319227
"597","Jun 10 20","total",2.39433700576769,2.251953125,2.45334201388889
"599","Jun 24 20","total",1.29598259673721,1.27234927234927,1.32132132132132
"639","Mar 31 21","total",0.446687519761639,0.43754208754209,0.464605734767025
"641","Apr 14 21","total",0.266402984420721,0.24577861163227,0.270667254655858
"642","Apr 21 21","total",0.0191901377210788,0.0175941080196399,0.0202837508313008
"643","Apr 28 21","total",0.174669305238229,0.16502079002079,0.178279942868802
