"","Week","Stage","mean","lci","uci"
"53","May 01 19","copepodid",1.10727567644896,1.06545654565457,1.11968491438321
"54","May 08 19","copepodid",0.167898626775724,0.164107611548555,0.180555555555556
"104","Apr 22 20","copepodid",0.0343818414831347,0.0332045897705106,0.037357315807679
"105","Apr 29 20","copepodid",0.323890297923127,0.320788675429728,0.33416149068323
"107","May 13 20","copepodid",0.390751303604697,0.383493946132933,0.434803224276909
"109","May 27 20","copepodid",3.88341652740586,3.86696385249879,3.95075757575757
"111","Jun 10 20","copepodid",1.00886984613634,0.991837686567164,1.05016447368421
"113","Jun 24 20","copepodid",0.845948905925162,0.790540540540541,0.872157430344859
"153","Mar 31 21","copepodid",0.166552736615388,0.152006172839506,0.173690932311622
"155","Apr 14 21","copepodid",0.170431751109036,0.16719419102588,0.177560975609756
"156","Apr 21 21","copepodid",0,0,0
"157","Apr 28 21","copepodid",0.153240836826523,0.151129539605376,0.161153846153846
"215","May 01 19","chalimus",1.22426656348805,1.21065936380873,1.24331398657107
"216","May 08 19","chalimus",1.63356457719274,1.5811320754717,1.6459917971663
"266","Apr 22 20","chalimus",0.148217007096532,0.128329297820823,0.152385436283741
"267","Apr 29 20","chalimus",0.0998087543994054,0.091639344262295,0.102979214780599
"269","May 13 20","chalimus",0.296961838552333,0.288550323176363,0.300815733601519
"271","May 27 20","chalimus",2.02534375612084,1.99854819976771,2.10720486111111
"273","Jun 10 20","chalimus",1.43757380963715,1.40643939393939,1.55902777777778
"275","Jun 24 20","chalimus",0.437139830676505,0.394071490845685,0.450157349129956
"315","Mar 31 21","chalimus",0.24892112020258,0.245746326372776,0.264064697609001
"317","Apr 14 21","chalimus",0.0972477521717491,0.0950299125632764,0.107317073170732
"318","Apr 21 21","chalimus",0.0187967576311453,0.0164165103189494,0.0196998123827389
"319","Apr 28 21","chalimus",0.020282835497179,0.0190281267731208,0.0239010989010989
"377","May 01 19","motile",0.117045732457546,0.10961810466761,0.119468300421201
"378","May 08 19","motile",0.378606560452995,0.368827160493827,0.382863849765259
"428","Apr 22 20","motile",0,0,0
"429","Apr 29 20","motile",0,0,0
"431","May 13 20","motile",0.157082477080519,0.147243107769424,0.161236424394319
"433","May 27 20","motile",0.065421355005346,0.0631106726794443,0.0720833333333332
"435","Jun 10 20","motile",0,0,0
"437","Jun 24 20","motile",0,0,0
"477","Mar 31 21","motile",0.0273881292793979,0.0225694444444444,0.0286915204678361
"479","Apr 14 21","motile",0,0,0
"480","Apr 21 21","motile",0,0,0
"481","Apr 28 21","motile",0,0,0
"539","May 01 19","total",2.42101637510224,2.38232616365085,2.46138613861386
"540","May 08 19","total",2.17439693180821,2.14266666666667,2.19633838383838
"590","Apr 22 20","total",0.188028978818236,0.183843361859412,0.209344938158497
"591","Apr 29 20","total",0.416296418273388,0.405641025641026,0.424489795918367
"593","May 13 20","total",0.830431398846372,0.810879399757255,0.837719298245614
"595","May 27 20","total",5.96631152706987,5.90217391304348,5.99183006535948
"597","Jun 10 20","total",2.42717542589773,2.31891025641026,2.46539481897628
"599","Jun 24 20","total",1.33095596918245,1.31727379553466,1.37721054387721
"639","Mar 31 21","total",0.446041983489448,0.436816939890712,0.470430107526882
"641","Apr 14 21","total",0.265732031499328,0.260590500641849,0.268472684726848
"642","Apr 21 21","total",0.0195000133632218,0.0183091668714676,0.0254342431761787
"643","Apr 28 21","total",0.17309524787038,0.169844861021331,0.175875767425064
