"","Week","Stage","mean","lci","uci"
"50","Apr 10 19","copepodid",0.442509337650069,0.432,0.451969696969697
"51","Apr 17 19","copepodid",0.722077504555709,0.708460365853659,0.729575892857144
"53","May 01 19","copepodid",0.380367941361889,0.372767857142857,0.389600409836065
"54","May 08 19","copepodid",0.485106138475354,0.479392030672326,0.487770485524783
"55","May 15 19","copepodid",4.9551376135261,4.8893220338983,4.98065671641791
"56","May 22 19","copepodid",0.435357970145914,0.4256038647343,0.440338528573824
"104","Apr 22 20","copepodid",0.456435181914255,0.435384615384615,0.46243553008596
"106","May 06 20","copepodid",0.217852950089261,0.212727272727273,0.219686800894854
"107","May 13 20","copepodid",0.500659307638926,0.492702702702702,0.5112
"108","May 20 20","copepodid",2.43687527758385,2.38698795180723,2.45492096944151
"155","Apr 14 21","copepodid",0.741325709099185,0.698709677419356,0.750334928229662
"156","Apr 21 21","copepodid",0.216900335439472,0.207619047619048,0.220442477876107
"157","Apr 28 21","copepodid",0.355901686013454,0.351314285714285,0.36955223880597
"158","May 05 21","copepodid",0.203682045780776,0.191578947368421,0.20754491017964
"159","May 12 21","copepodid",0.902487624900609,0.895974025974025,0.905873015873017
"160","May 19 21","copepodid",2.25706397884825,2.16551724137931,2.29934426229508
"161","May 26 21","copepodid",0.449399291824282,0.442837837837839,0.469285714285714
"212","Apr 10 19","chalimus",0.661299591091266,0.656087912087912,0.674947368421053
"213","Apr 17 19","chalimus",1.25088981968976,1.2358993902439,1.26060644399459
"215","May 01 19","chalimus",1.05295414010277,1.03952205882353,1.07494212962963
"216","May 08 19","chalimus",2.54660072145604,2.50974770642202,2.55608840700584
"217","May 15 19","chalimus",5.99085969935772,5.83090909090909,6.03142857142857
"218","May 22 19","chalimus",6.34426765911274,6.31378600823045,6.37209717756341
"266","Apr 22 20","chalimus",1.26874872909677,1.23103448275862,1.28205533596838
"268","May 06 20","chalimus",1.45778314309314,1.44070175438597,1.47081081081081
"269","May 13 20","chalimus",2.2654818579406,2.23395161290323,2.36685714285714
"270","May 20 20","chalimus",1.93592746622336,1.92594594594595,1.95571428571429
"317","Apr 14 21","chalimus",0.577805871339639,0.571333333333333,0.581656050955412
"318","Apr 21 21","chalimus",0.736151584274967,0.714520547945205,0.745188284518827
"319","Apr 28 21","chalimus",0.863490559820554,0.857407407407407,0.874426229508197
"320","May 05 21","chalimus",0.68176071596298,0.676788732394365,0.696470588235294
"321","May 12 21","chalimus",1.59591907097396,1.574375,1.60175572519084
"322","May 19 21","chalimus",2.68527702126538,2.60705882352941,2.71346278317153
"323","May 26 21","chalimus",2.41515167939673,2.37111111111111,2.438708994709
"374","Apr 10 19","motile",0.301604770031598,0.298527607361965,0.307222222222222
"375","Apr 17 19","motile",0.109791665750325,0.104959239130435,0.111631944444445
"377","May 01 19","motile",0,0,0
"378","May 08 19","motile",0.711986572072174,0.690729116368904,0.720130058465243
"379","May 15 19","motile",1.02044395382474,1.00145748987854,1.03370078740157
"380","May 22 19","motile",0.709195120860579,0.689153439153439,0.721781305114638
"428","Apr 22 20","motile",0.0815996021831242,0.08,0.0876106194690263
"430","May 06 20","motile",0.0198956861080634,0.0193118756936734,0.0229268292682927
"431","May 13 20","motile",0.641043991497557,0.63448275862069,0.649186602870814
"432","May 20 20","motile",0.62001078540446,0.610447761194029,0.625660377358491
"479","Apr 14 21","motile",0.080533313742953,0.0788454376163877,0.0856521739130434
"480","Apr 21 21","motile",0.0194241345069331,0.0146341463414634,0.0204081632653061
"481","Apr 28 21","motile",0.119436020300159,0.113225806451613,0.121007194244604
"482","May 05 21","motile",0.160135733982966,0.154901960784313,0.165
"483","May 12 21","motile",0.298860431017539,0.295761856710396,0.308461538461538
"484","May 19 21","motile",0.703468771090146,0.694177215189873,0.708409090909091
"485","May 26 21","motile",0.577588402576,0.568652482269503,0.585714285714286
"536","Apr 10 19","total",1.39514170401687,1.37150684931507,1.40517350157729
"537","Apr 17 19","total",2.08990696657506,2.07838114754099,2.11191860465116
"539","May 01 19","total",1.39816528422437,1.36991279069767,1.41024340770791
"540","May 08 19","total",3.74480810980847,3.71841919548341,3.75809984296223
"541","May 15 19","total",11.8656723673163,11.8031404958678,11.9277192982456
"542","May 22 19","total",7.52801345834597,7.35947712418301,7.57359822349116
"590","Apr 22 20","total",1.78792742942904,1.77287671232877,1.79430327868853
"592","May 06 20","total",1.70885935120881,1.69501035196687,1.76
"593","May 13 20","total",3.43555905649314,3.41589322381931,3.50814814814815
"594","May 20 20","total",5.00892095891059,4.9359375,5.03126760563381
"641","Apr 14 21","total",1.38423701895644,1.34988235294118,1.39377960865088
"642","Apr 21 21","total",0.983568696224406,0.977421052631579,0.994042553191489
"643","Apr 28 21","total",1.33350597012358,1.31789473684211,1.34106382978724
"644","May 05 21","total",1.04385646412014,1.0316393442623,1.05275
"645","May 12 21","total",2.80557442201504,2.80010000000001,2.81895833333333
"646","May 19 21","total",5.70377708579519,5.58121212121212,5.74424731182795
"647","May 26 21","total",3.42654474591195,3.3663829787234,3.44796334012219
