"","Week","Stage","mean","lci","uci"
"50","Apr 10 19","copepodid",0.446840846242956,0.420740740740741,0.452000000000001
"51","Apr 17 19","copepodid",0.727160393879074,0.721205124869929,0.744212962962963
"53","May 01 19","copepodid",0.373025794718916,0.368321240105541,0.378551136363636
"54","May 08 19","copepodid",0.489582488630394,0.479478512795751,0.498088685015291
"55","May 15 19","copepodid",4.94124221030544,4.85551020408165,5.09916666666667
"56","May 22 19","copepodid",0.422806301194118,0.397306397306397,0.427962326587755
"104","Apr 22 20","copepodid",0.46649946221893,0.457872340425532,0.475227272727272
"106","May 06 20","copepodid",0.221200508046236,0.214666666666667,0.224432989690722
"107","May 13 20","copepodid",0.504768044910074,0.496713735558406,0.524499999999998
"108","May 20 20","copepodid",2.47599337834862,2.45369230769229,2.5255737704918
"155","Apr 14 21","copepodid",0.744028051989461,0.72,0.750252525252526
"156","Apr 21 21","copepodid",0.220529069247982,0.216541353383459,0.222996254681649
"157","Apr 28 21","copepodid",0.36409302610738,0.348571428571428,0.371739130434785
"158","May 05 21","copepodid",0.201282784056143,0.196727272727273,0.204755244755244
"159","May 12 21","copepodid",0.90859127626984,0.904270833333332,0.913432835820895
"160","May 19 21","copepodid",2.27575296689859,2.2092,2.29301470588236
"161","May 26 21","copepodid",0.444939963878081,0.438923976608192,0.457446808510638
"212","Apr 10 19","chalimus",0.668991302413275,0.663438453713123,0.679629629629629
"213","Apr 17 19","chalimus",1.25737974137594,1.1826171875,1.27155172413793
"215","May 01 19","chalimus",1.03628066109027,1.01573741007194,1.07932692307692
"216","May 08 19","chalimus",2.54321483336912,2.52317720907774,2.55345187913995
"217","May 15 19","chalimus",5.9394426072541,5.9140108892922,5.99492957746479
"218","May 22 19","chalimus",6.3751226009682,6.29604261796042,6.51697530864198
"266","Apr 22 20","chalimus",1.25862090442668,1.2465243902439,1.292
"268","May 06 20","chalimus",1.45578365456783,1.44183908045977,1.48551724137931
"269","May 13 20","chalimus",2.30723212915398,2.29270588235294,2.36235294117647
"270","May 20 20","chalimus",1.92894211679735,1.91570469798658,1.93833852544132
"317","Apr 14 21","chalimus",0.573083672648935,0.558805970149254,0.581599999999999
"318","Apr 21 21","chalimus",0.74129838845401,0.72,0.746503067484663
"319","Apr 28 21","chalimus",0.869701982653001,0.851044776119403,0.877348066298345
"320","May 05 21","chalimus",0.676784712030636,0.664714828897341,0.696888888888889
"321","May 12 21","chalimus",1.60013052429389,1.59,1.61234042553192
"322","May 19 21","chalimus",2.73182870497789,2.70648648648649,2.78920454545455
"323","May 26 21","chalimus",2.44826747431049,2.42931506849315,2.5
"374","Apr 10 19","motile",0.298911185226976,0.294516129032258,0.325
"375","Apr 17 19","motile",0.108819357339408,0.106323653198653,0.111213235294118
"377","May 01 19","motile",0,0,0
"378","May 08 19","motile",0.71459248578105,0.694047365052273,0.719186278420426
"379","May 15 19","motile",1.02267981535002,1.00638036809816,1.03785714285714
"380","May 22 19","motile",0.706714227181341,0.702144905848609,0.720068906115417
"428","Apr 22 20","motile",0.0774733656764556,0.0634042553191489,0.0815983606557371
"430","May 06 20","motile",0.018654005448209,0.017111111111111,0.02
"431","May 13 20","motile",0.651936540716626,0.645141657922349,0.674893617021277
"432","May 20 20","motile",0.62099416853014,0.608333333333334,0.627826086956521
"479","Apr 14 21","motile",0.0818058050808006,0.0686666666666665,0.0837719298245616
"480","Apr 21 21","motile",0.0194972213557628,0.0179687500000001,0.0202173913043479
"481","Apr 28 21","motile",0.120043465050778,0.115294117647059,0.121701631701631
"482","May 05 21","motile",0.157104861347884,0.143225806451613,0.160544959128066
"483","May 12 21","motile",0.301429589357855,0.29,0.304845360824742
"484","May 19 21","motile",0.69867299386976,0.691162790697674,0.704850299401195
"485","May 26 21","motile",0.56195457199299,0.550414201183432,0.566351829988193
"536","Apr 10 19","total",1.40571168990928,1.39205128205128,1.4129102844639
"537","Apr 17 19","total",2.10808598054179,2.06727430555555,2.11724271201414
"539","May 01 19","total",1.39229039291532,1.37058823529412,1.41336859979102
"540","May 08 19","total",3.74651397203794,3.73358936064292,3.75894495412844
"541","May 15 19","total",11.9284666820721,11.829756097561,11.9712745098039
"542","May 22 19","total",7.50887501698235,7.47772597772598,7.52648016187208
"590","Apr 22 20","total",1.81058929922886,1.79071428571429,1.81824503311258
"592","May 06 20","total",1.70283917424591,1.69434210526316,1.72242424242424
"593","May 13 20","total",3.42326231360428,3.39964285714286,3.43531249999999
"594","May 20 20","total",4.99917053966054,4.97799342105262,5.06842105263158
"641","Apr 14 21","total",1.39318105270145,1.36067796610169,1.40472372697725
"642","Apr 21 21","total",0.979299440068463,0.959090909090909,0.986666666666668
"643","Apr 28 21","total",1.34414017286836,1.33077519379845,1.352
"644","May 05 21","total",1.03618425880062,1,1.04575458392101
"645","May 12 21","total",2.78825468579726,2.75655172413793,2.79887499999999
"646","May 19 21","total",5.69271222459912,5.67000000000001,5.76631578947369
"647","May 26 21","total",3.51387779890866,3.47897435897435,3.67081081081081
